Username,Comment
@sunilgamer5864,Instagram 😁 se dekhne ke liya 😂
@gunnygamers7051,Just go for 2:40
@manojsaran3444,Mujhe lagta hai ki yh song 2023 main he famous hua hai😊
@RahulJha-id3wv,Can some explain hindi meaning of this song
@EvilBanna-yl9ki,Who see in 2024
@sachintule111,Time is always change..❤
@LovePetAni,Instagram first 😅😅😅
@saru957,Kon kon 2023 me dekh rhe h comment kare 😂😂
@AdityaHukum,❤ ending of 2023🎉❤
@sahilsalaria8194,❤❤
@tractoralepro,❤
@MpSinghpanwar7,Aek di kamini dil bhi mera kamina that lyrics finally found
@SenKumar-r8n,Miss😔 2g day
@sachinrajeshdaheriya9014,Kon h Pooja ki chhoti behen 😂
@tipsoftrading1,Good Childhood Days🔥9x Tashan Ptc Punjabi Era
@YouTubereel-ud5xb,Nice song ❤
@JackSparrow-rp6td,What's her name
@gemingwithalok2543,Trending song
@SscCaptain,Instagram se aane vale like kro ❤
@mrci1486,Who is this female artist 😅
@anujyadav4055,"No gang,no cars ,no khalistani only good song"
@AnandKumar-xe1lr,Insta se aaye hai😂❤
@Hungrycrow78,Dhammal machake rakha h ye song❤❤
@sudeepjain6146,Bhai pta nhi pr me iss gaane ko 2023 me sun rha hu
@aakash3322,still same vibe
@ChandanKumar-ys3ng,ये song instagram पर सुन कर कोन कोन आया है सुनने
@yogeshvartha3635,Insta reel vale kitne hai 😂
@Ravi-dy2xp,Sach mein Pooja ki behan kaint lag Rahi hai 😋
@AdityaVerma-fz3jq,Good one😊😊
@shivaa_rana_0150,❤️❤️❤️❣️❣️❣️❣️
@shivaa_rana_0150,❤❤❤❤❤
@pushkarupadhyay,Kon kon yaha instgram par reel dekh ke 😮😮aaya hai❤❤❤❤❤😊😊😊
@theshivaay4480,❤❤❤❤
@shortvideoofg.m9905,My favorite this video 🎉🎉🎉🎉🎉😊😊😊❤❤❤❤❤❤❤
@GT650-FUN,2:49 ❤
@Anuragsaini007,Legend see this song in 2023
@Universaljunction,Best line 2:45❤❤
@Universaljunction,Kis kis ne ye song reals dekh ke suna😊
@Universaljunction,Ye song ab 2023 me viral ho rha :- instagram reels
@gj15rider35,2023❤
@tanmaygadakh8646,wibe tohi bhaii 🎉❤
@barbiesvoicesfan7389,Vibe h  Vibe h
@najiaparmin,Instagram se sun kr yha akar dubara sun rhi hu😂
@GAGANKachwahaRajput,Instagram se aane wale like kro 🤣❤
@benjaminnetanyahu8718,Who is here after Instagram reels❤❤❤
@deeparai0701,2013 always rock . missing old day🥺
@ankushgamer4589,😂😂 Pooja
@prashantpal4050,I was here on Day one of the release of this masterpiece!!
